,,樞紐表練習,,,
,,資料來源：,,,
,,https://en.wikipedia.org/wiki/List_of_highest-grossing_films_in_Canada_and_the_United_States,,,
,,https://it.wikipedia.org/wiki/Film_con_maggiori_incassi_in_Canada_e_negli_Stati_Uniti,,,
,,,,,
序號,,片名,票房,年份,導演
1,,Star Wars: The Force Awakens ,936662225,2015,J.J. Abrams 
2,,Avatar ,838643426,2009,James Cameron 
3,,Titanic ,945277435,1997,James Cameron 
4,,Jurassic World ,652270625,2015,Colin Trevorrow 
5,,The Avengers ,642513132,2012,Joss Whedon 
6,,The Dark Knight ,587744874,2008,Christopher Nolan 
7,,Finding Dory film currently playing ,475063961,2016,Andrew Stanton 
8,,Star Wars: Episode I – The Phantom Menace ,657150708,1999,George Lucas 
9,,Star Wars ,1383087203,1977,George Lucas 
10,,Avengers: Age of Ultron ,459005868,2015,Joss Whedon 
11,,The Dark Knight Rises ,461910006,2012,Christopher Nolan 
12,,Shrek 2 ,552776575,2004,Andrew Adamson
13,,E.T. the Extra-Terrestrial ,1016552578,1982,Steven Spielberg 
14,,The Hunger Games: Catching Fire ,431402069,2013,Francis Lawrence 
15,,Pirates of the Caribbean: Dead Man's Chest ,496896457,2006,Gore Verbinski 
16,,The Lion King ,619259828,1994,Roger Allers
17,,Toy Story 3 ,450343309,2010,Lee Unkrich 
18,,Iron Man 3 ,415499787,2013,Shane Black 
19,,The Hunger Games ,420548490,2012,Gary Ross 
20,,Captain America: Civil War film currently playing ,407299280,2016,Anthony e Joe Russo 
21,,Spider-Man ,531129701,2002,Sam Raimi 
22,,Jurassic Park ,631019280,1993,Steven Spielberg 
23,,Transformers: Revenge of the Fallen ,443526835,2009,Michael Bay 
24,,Frozen ,407092569,2013,Chris Buck
25,,Harry Potter and the Deathly Hallows – Part 2 ,400794494,2011,David Yates 
26,,Finding Nemo ,479387995,2003,Andrew Stanton 
27,,Star Wars: Episode III – Revenge of the Sith ,460743580,2005,George Lucas 
28,,The Lord of the Rings: The Return of the King ,485854084,2003,Peter Jackson 
29,,Spider-Man 2 ,468035377,2004,Sam Raimi 
30,,The Passion of the Christ ,464502915,2004,Mel Gibson 
31,,Despicable Me 2 ,373897665,2013,Pierre Coffin
32,,Deadpool ,363070709,2016,Tim Miller 
33,,The Jungle Book film currently playing ,362761271,2016,Jon Favreau 
34,,Inside Out ,356461711,2015,Pete Docter
35,,Furious 7 ,353007020,2015,James Wan 
36,,Transformers: Dark of the Moon ,370687744,2011,Michael Bay 
37,,American Sniper ,349978722,2014,Clint Eastwood 
38,,The Lord of the Rings: The Two Towers ,450412020,2002,Peter Jackson 
39,,Zootopia ,341268248,2016,Byron Howard
40,,The Hunger Games: Mockingjay – Part 1 ,336993714,2014,Francis Lawrence 
41,,Spider-Man 3 ,384058255,2007,Sam Raimi 
42,,Minions ,336045770,2015,Pierre Coffin
43,,Alice in Wonderland ,362648098,2010,Tim Burton 
44,,Guardians of the Galaxy ,333036098,2014,James Gunn 
45,,Batman v Superman: Dawn of Justice ,330360194,2016,Zack Snyder 
46,,Forrest Gump ,526928706,1994,Robert Zemeckis 
47,,The Secret Life of Pets film currently playing ,325419170,2016,Chris Renaud 
48,,Shrek the Third ,368297468,2007,Chris Miller 
49,,Transformers ,364333121,2007,Michael Bay 
50,,Iron Man ,349958029,2008,Jon Favreau 
